Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
RUSSIAN 225,Russian for Heritage Speakers II,RUSSIAN,Heritage speakers,Russian grammar,Writing and reading skills,Cultural topics,Grammar complexity,,,,
RUSSIAN 302,Third-Year Russian,RUSSIAN,Advanced Russian speaking,Aural comprehension,Russian writing,Intermediate grammar,Cultural understanding,,,,
RUSSIAN 315,Studies in Russian Culture and the Arts,RUSSIAN,Russian culture,Arts and literature,Analytical techniques,Cultural topics,Artistic expression,,,,
RUSSIAN 346,Russian Literature from Romanticism to Realism,RUSSIAN,19th-century literature,Russian intellectual traditions,Moral issues in Russian literature,Literary history,Philosophical debates,,,,
RUSSIAN 358,Central Asia through Russian Eyes: Cultural Appropriation of an Exotic Land,RUSSIAN,Cultural appropriation,Russian perceptions of Central Asia,National identity,Muslim culture,Historical context,,,,
RUSSIAN 382,Topics in Russian Literature,RUSSIAN,Selected Russian literature,Russian novels and plays,Literary genres,Reading and discussion,Literary analysis,,,,
RUSSIAN 402,Fourth-Year Russian,RUSSIAN,Advanced Russian grammar,Verbal system composition,Oral reports,Russian short stories,Writing proficiency,,,,
RUSSIAN 430,Supervised Reading of Russian Literature,RUSSIAN,Russian literature readings,Independent study,Personalized syllabus,Reading mastery,Research skills,,,,
RUSSIAN 492,Senior Honors Course,RUSSIAN,Honors thesis,Russian independent study,Advanced research skills,Individualized study,Thesis development,,,,
RUSSIAN 499,Advanced Seminar in Russian,RUSSIAN,Russian literature seminar,Cultural topics,Oral and written assignments,Capstone course,Advanced study,,,,
SCAND 104,Elementary Swedish,SCAND,Swedish grammar,Pronunciation and vocabulary,Literary texts,Idiomatic expressions,Written exercises,,,,
SCAND 234,Second-Year Swedish,SCAND,Oral and written communication,Swedish grammar review,Swedish literature,Swedish civics,Swedish history,,,,
SCAND 325,Third Year Swedish,SCAND,Swedish literature analysis,Swedish movies,Response papers,Essay writing,Advanced Swedish discussion,,,,
SCAND 349,Independent Study,SCAND,Independent study,Directed readings,Research project,Faculty-supervised study,Preliminary research,,,,
SCAND 351,Practice in Business Swedish,SCAND,Business Swedish,Swedish internship,Internship report,Presentation skills,Business communication,,,,
SCAND 442 / HISTORY 447 / MEMS 442,"The Icelandic Sagas: Vikings, Women, and Vengeance",SCAND,Icelandic Sagas,Vikings and women,Social conflict,Religious themes,Saga analysis,,,,
SI 106 / ALA 118,"Programs, Information and People",SI,Introduction to programming,Informatics applications,Internet data access,Software development collaboration,Modern programming language,,,,
SI 110 / ALA 119 / STS 110,Introduction to Information Studies,SI,Information theory,Cultural impact of technology,Computing networks,Politics of information,Economics of information,,,,
SI 410 / AMCULT 410 / DIGITAL 410 / STS 410,Ethics and Information Technology,SI,Ethics of information technologies,Social media interaction,Information quality metrics,Game design ethics,Philosophy of information,,,,
SI 422,Needs Assessment and Usability Evaluation,SI,Usability evaluation,Personas and scenarios,Competitive analysis,Surveys and interviews,Usability testing,,,,
SI 429,Online Communities: Analysis and Design of Online Interaction,SI,Online communities,Interaction design,Group dynamics,Collective purpose,Electronic forums,,,,
SI 561 / CSE 595 / LING 541,Natural Language Processing,SI,Natural language processing,Part of speech tagging,Hidden Markov models,Syntax and parsing,Sentiment analysis,,,,
SLAVIC 225,Arts and Cultures of Central Europe,SLAVIC,Central European cultures,World War impact,Jewish culture,Holocaust education,Totalitarianism and culture,,,,
SLAVIC 260,Directed Reading in Slavic Studies,SLAVIC,Directed readings,Slavic studies,Individual research,Student-driven topic,Independent study,,,,
SLAVIC 281 / JUDAIC 281 / MIDEAST 281,"Jews in the Modern World: Texts, Images, Ideas",SLAVIC,Modern Jewish culture,Political and social responses,European and American influences,Film and fine arts,Reshaping culture,,,,
SLAVIC 290,Studies in Eastern European Cultures,SLAVIC,Eastern European cultures,Slavic studies,Analytical techniques,Specific cultural areas,Student knowledge-building,,,,
SLAVIC 315,Field Work,SLAVIC,Field work,Independent study,Experiential learning,Slavic language and culture,Abroad/local research,,,,
SLAVIC 397 / ANTHRCUL 317 / HISTORY 228 / POLSCI 334 / REEES 397 / SOC 317,Communism and Capitalism in Eastern Europe,SLAVIC,Communism and capitalism,Political economy,East Central Europe,1989 revolutions,EU membership struggles,,,,
SLAVIC 450,Directed Readings in Slavic Studies,SLAVIC,Slavic studies,Directed readings,Independent research,Student-driven topics,Personalized learning,,,,
SLAVIC 470,"Topics in Cultural Studies of Central, Eastern, and Southern Europe",SLAVIC,Cultural studies,Central Europe,Eastern Europe,Southern Europe,Literature and arts analysis,,,,
SOC 100,Introduction to Sociology,SOC,Introduction to sociology,Sociology field scholarship,Sociological reasoning,Social patterns and processes,Introductory course,,,,
SOC 102,Introduction to Sociology: Special Topics,SOC,Special topics sociology,Topical social issues,Introduction to sociology,Student-driven focus,Non-major course,,,,
SOC 105,First Year Seminar in Sociology,SOC,First-year sociology,Social issues examination,First-year seminar,Introductory course,Topical analysis,,,,
SOC 122 / ALA 122 / EDUC 122 / PSYCH 122,Intergroup Dialogues,SOC,Intergroup dialogues,Conflict and community,Multi-group dialogue,Identity exploration,Intercultural communication,,,,
SOC 208,"Terrorism, Torture, and Violence",SOC,Terrorism and violence,Contemporary violence analysis,Terrorism study,Torture and sexual assault,Macro to micro violence,,,,
SOC 210,Introduction to Statistics for Social Science,SOC,Statistics in social science,Research statistics,Statistical measures,Descriptive statistics,Introductory statistics,,,,
SOC 218 / ALA 220 / PSYCH 213,Foundations of Intergroup Relations,SOC,Intergroup relations theory,Social identity formation,Prejudice and discrimination,Privilege and power dynamics,Social identity projects,,,,
SOC 220 / RCSTP 220,Political Economy,SOC,Political economy,Capitalist economies,Social class power,Political institutions and norms,Alternative economic theory,,,,
SOC 221 / AMCULT 221,Unequal America: Understanding Social Inequality,SOC,Social inequality,U.S. inequality debate,Inequality analysis,Research on wealth disparity,Critical evaluation of poverty,,,,
SOC 225,Project Community: Sociology in Action,SOC,Community sociology,Experiential learning,Social inequality perspectives,Community organizations,Engaged learning,,,,
SOC 240,America in Decline: From the Kennedys to the Kardashians,SOC,American sociology,Cultural sociology,U.S. cultural change,Post-WWII social scholarship,"Meaning, symbols, and inequality",,,,
SOC 251 / CMPLXSYS 251,Computational Social Sciences,SOC,Computational social sciences,Big data analysis,Social science data,Research projects,Introductory computational methods,,,,
SOC 255,Sociology of Music: Impacts of Culture on Composition and Performance,SOC,Sociology of music,Social context of music,Cultural impact on music,Music theory and sociology,Applied music literature,,,,
SOC 260 / CMPLXSYS 260,"Tipping Points, Bandwagons and Cascades: From Individual Behavior to Social Dynamics",SOC,Social dynamics,Behavioral networks,Social outcomes and behaviors,Models of social movement,Social influence and innovation,,,,
SOC 270 / WGS 270,Gender and the Law,SOC,Gender and law,Legal responses to gender inequality,Feminist legal theories,Transgender rights,Abortion and pregnancy regulations,,,,
SOC 295,Topics in Sociology,SOC,Sociology topics,Faculty research problems,Current sociological research,Specific research issues,Term-specific topics,,,,
SOC 300,Sociological Principles and Problems,SOC,Sociological principles,Theory and application of sociology,Sociological explanation,Upper-level sociology,Introduction to sociology theory,,,,
SOC 302,Health and Society: An Introduction to Sociology,SOC,Health and society,Medical sociology,Health professions issues,Sociological concepts in healthcare,Health and medicine focus,,,,
SOC 303 / AAS 303,Race and Ethnic Relations,SOC,Race and ethnic relations,American race relations,Intergroup relations,Theory of ethnicity,Identity construction and social relations,,,,
SOC 304 / AMCULT 304 / LATINOAM 304,American Immigration,SOC,American immigration,Immigrant experiences,Immigration history,Immigrant group analysis,Race and ethnic theories,,,,
SOC 305,Introduction to Sociological Theory,SOC,Classical and contemporary theory,Sociological research role,Theoretical foundations in sociology,Introduction to sociological thought,Research process and data analysis,,,,
SOC 310,Sociological Research Methods,SOC,Sociological research methods,Data collection methods,Research ethics,Methods and theory application,Sample selection and causation,,,,
SOC 317 / ANTHRCUL 317 / HISTORY 228 / POLSCI 334 / REEES 397 / SLAVIC 397,Communism and Capitalism in Eastern Europe,SOC,State socialism,Revolutions of 1989,Eastern Europe history,Material culture in socialism,European Union membership struggles,,,,
SOC 320 / ALA 320 / PSYCH 310,Processes of Intergroup Dialogues Facilitation,SOC,Multicultural group facilitation,Prejudice and stereotyping,Group facilitation skills,Social identity group development,Intergroup dialogue dynamics,,,,
SOC 321 / ALA 321 / EDUC 329 / PSYCH 311,Practicum in Facilitating Intergroup Dialogues,SOC,Applied intergroup dialogue work,Community building,Conflict intervention skills,Intergroup communication,Social identity development,,,,
SOC 323 / AAS 321,African American Social Thought,SOC,Social thought on African Americans,Critique of African American social character,Schools of thought on race,Social condition of African Americans,Social character and African American identity,,,,
SOC 324 / ALA 322 / PSYCH 324,Advanced Practicum in Intergroup Relations,SOC,Applied intergroup relations,Advanced intergroup dialogue work,Research in intergroup relations,Applied experience in group dynamics,Conflict mediation in group settings,,,,
SOC 325,Project Community Advanced Practicum,SOC,Community engagement,Applied sociology internship,Research project in the community,Community site relationships,Social impact through engagement,,,,
SOC 326 / SW 305,Theories and Practices for Community Action and Social Change,SOC,Community building for social change,Interdisciplinary social change framework,Empirical methods in social change,Qualitative research methods,Community organizing methods,,,,
SOC 330,Population Problems,SOC,Population studies,Population growth impacts,Social problems in demographics,Demographic analysis,Population trends and governance,,,,
SOC 331,The Politics of Data,SOC,Federal statistical system,Policy and data analysis,Government data usage,Social data in policy decisions,Political influence of data,,,,
SOC 346,Sociology of the Body,SOC,Body representation and identity,Gender and race in body studies,Sexuality and the body,History of body concepts,Citizenship and body politics,,,,
SOC 368,Criminology,SOC,Criminal behavior analysis,Criminality and institutions,Victims and criminal justice roles,Police and societal impact,Sociology of crime,,,,
SOC 379 / POLSCI 386,"Sports, Politics, and Society",SOC,Sports and society,Politics and sports,Sports culture in U.S. and Europe,Societal values in sports,Behavioral study of sports and society,,,,
SOC 394,Undergraduate Research,SOC,Undergraduate research experience,Sociology research opportunities,Faculty-led research projects,Sociology research methods,Independent research and academic credit,,,,
SOC 395,Independent Study,SOC,Independent study in sociology,Faculty-supervised research,Advanced sociology topics,Individual study in sociology,Independent research opportunities,,,,
SOC 396,Undergraduate Internship,SOC,Internship in sociology,Experiential learning in sociology,Applied sociology in practice,Prearranged internship experience,Professional development in sociology,,,,
SOC 398,Sociology Opportunities for Undergraduate Leaders II,SOC,Leadership and identity reflection,First-generation college students,Research assistantship experience,Leadership development in sociology,Sociology of leadership programs,,,,
SOC 404 / AMCULT 404 / LATINOAM 404,Latinas/os in the U. S.: Social Problems and Social Issues,SOC,Latino social issues in the U.S.,Latino migration experiences,Social characteristics of Latino groups,Legal status and social outcomes,Historical impact on Latino communities,,,,
SOC 426 / CCS 526,Gender and Family in East Asia,SOC,Gender roles in East Asia,Family dynamics in East Asia,Work and gender in East Asia,State governance and gender,Sexual politics in East Asia,,,,
SOC 428 / ASIAN 490 / PUBPOL 428,Contemporary China,SOC,Contemporary China studies,Chinese history and culture,Economic changes in China,Social structure in China,Family and daily life in China,,,,
SOC 445 / WGS 449,"Diagnosis, Sex, and Society",SOC,Sex and society diagnosis,"Sex, gender, and sexuality diagnoses",Social construction of medical diagnoses,Cultural and historical influence on diagnoses,Political aspects of health diagnoses,,,,
SOC 471 / ALA 429 / PSYCH 411,IGR Senior Capstone: Social Justice in the Real World,SOC,Social justice strategies,Social change theories,Change agents in careers,Multicultural teamwork,Activism and social justice practices,,,,
SOC 476,Sociology of Bioethics,SOC,Bioethics and morality,Professional ethics in sociology,Politics of medicine,Role of religion in bioethics,Sociology of science and bioethics,,,,
SOC 477,Death and Dying,SOC,Death and dying in society,Cultural attitudes toward death,Social death in modern societies,Medical technologies and death,Financial considerations in care,,,,
SOC 489 / RCSTP 489,"Organizing: People, Power, and Change",SOC,Community organizing principles,Leadership in organizing,Strategies for social change,Collective action and values,Building community power and capacity,,,,
SOC 495,Topics in Sociology,SOC,Sociological research topics,Faculty-led research projects,Current sociology problems,Focused research studies,Advanced sociology topics,,,,
SOC 497,Honors: Proposal Writing,SOC,Honors research proposal,Research question development,Writing research prospectus,Sociology Honors Program,Research preparation in sociology,,,,
SOC 499,Honors: Thesis Writing,SOC,Honors thesis writing,Sociology thesis completion,Independent research projects,Faculty mentorship in thesis,Research and writing in sociology,,,,
SOC 503,"The Sociology of Race, Ethnicity, and Immigration",SOC,"Race, ethnicity, and immigration",Theoretical framework for race studies,Immigration causes and effects,Racial and ethnic differences,Implications of immigration policy,,,,
SPACE 321 / CLIMATE 321 / EARTH 321,Earth Systems Dynamics,SPACE,Wind systems and ocean currents,Climate system dynamics,Paleo climate analysis,Equations of climate motion,Climate system parameters and relations,,,,
SPACE 323 / CLIMATE 323 / EARTH 323,Earth System Analysis,SPACE,Earth and Atmospheric Science analysis,Linear systems and harmonic analysis,Statistical error analysis,Field data applications,Computer programming in Earth science,,,,
SPACE 350 / CLIMATE 350 / EARTH 350,Atmospheric Thermodynamics,SPACE,Atmospheric thermodynamics,First and Second Laws of Thermodynamics,Ideal gas behavior and phase changes,Atmospheric water substance stability,Kinetic theory of gases,,,,
SPANISH 100,Intensive Elementary Spanish,SPANISH,Intensive Spanish language course,Basic Spanish grammar and vocabulary,Language immersion and practice,Language acquisition techniques,Spanish proficiency foundations,,,,
SPANISH 101,Elementary Spanish,SPANISH,Beginner,Grammar-Integrated,Listening-Speaking-Focused,Task-Based,Spanish-Culture,,,,
SPANISH 102,Elementary Spanish,SPANISH,Prerequisite-Based,Grammar-Building,Spanish-Continuation,Interactive-Exercises,Language-Progression,,,,
SPANISH 103,Review of Elementary Spanish,SPANISH,Refresher,Placement-Test-Required,Grammar-Review,Speaking-Practice,Spanish-Foundations,,,,
SPANISH 230,Intensive Second-Year Spanish,SPANISH,Intensive,Language-Requirement,Accelerated-Course,Grammar-Integration,Second-Year,,,,
SPANISH 231,Second-Year Spanish,SPANISH,Intermediate,Skill-Development,Culture-Insight,Language-Practice,Listening-Speaking,,,,
SPANISH 232,"Second-Year Spanish, Continued",SPANISH,Advanced,Specialized-Readings,Language-Requirement,Grammar-Enhanced,Skill-Expansion,,,,
SPANISH 277,Spanish in Context: Advancing Your Proficiency,SPANISH,Proficiency-Advancement,Critical-Thinking,Communicative-Method,Teamwork-Oriented,Cross-Cultural,,,,
SPANISH 278 / AMCULT 224 / LATINOAM 224,Spanish for Heritage Language Learners,SPANISH,Heritage-Learner-Focused,Bilingualism,Grammar-Development,Biculturalism,Language-Practice,,,,
SPANISH 280,Conversation Through Spanish/Latin American Film,SPANISH,Conversation-Practice,Film-Based,Spanish-Culture,Latin-American,Critical-Analysis,,,,
SPANISH 283,Spanish for the Professions,SPANISH,Professional-Vocabulary,Cultural-Concepts,Service-Oriented,Communication,Practical-Skills,,,,
SPANISH 287,Written Expression: Achieving Competence,SPANISH,Advanced-Writing,Grammar-Knowledge,Spanish-Competence,Written-Expression,Grammar-Enhanced,,,,
SPANISH 289,Introduction to Translation,SPANISH,Translation-Skills,Bilingual-Proficiency,Introductory-Linguistics,Spanish-English,Spanish-Foundations,,,,
SPANISH 295,"Introduction to Literature, Culture, and the Arts in the Hispanic World",SPANISH,Literature-Introduction,Cultural-Studies,Hispanic-Arts,Spanish-Speaking,Multimedia-Content,,,,
SPANISH 298 / LING 398 / ROMLING 298,Introduction to Spanish Linguistics,SPANISH,Linguistics-Introduction,Morphology,Syntax,Phonetics-Phonology,Semantics,,,,
SPANISH 314,Contemporary Issues in Mexico and Central America,SPANISH,Contemporary-Issues,Research-Based,Oral-Performance,Mexico,Central-America,Primary-Sources,,,
SPANISH 333 / ROMLING 333,Techniques of Pronunciation and Oral Expression,SPANISH,Pronunciation-Improvement,Spanish-Phonetics,Oral-Expression,Techniques,Phonological-Analysis,,,,
SPANISH 337,Poetry Workshop,SPANISH,Poetry-Workshop,Cultural-Functions,Spanish-Poetry-Writing,Translation,Performance,,,,
SPANISH 350,Independent Studies,SPANISH,Independent Study,Spanish Language,Undergraduate Research,Credit Limitations,Consent Required,,,,
SPANISH 368,Literature and the Other Arts,SPANISH,Literature and Arts,Modern Literature,Multimedia,Spanish Language,Interdisciplinary Studies,,,,
SPANISH 369,Introduction to Film/Media Theory and Criticism,SPANISH,Film-Media-Theory,Film-Studies,Criticism-Analysis,Historical-Settings,Cultural-Context,,,,
SPANISH 373,Topics in Hispanic Studies,SPANISH,Hispanic Studies,Spanish Language,Spanish Literature,Cultural Studies,Topical Studies,,,,
SPANISH 381,"Survey of Latin American Literature, I",SPANISH,Latin American Literature,Spanish Language,Literature Survey,16th-20th Century,Literary Movements,,,,
SPANISH 385,Race and Ethnicity in the Hispanic World,SPANISH,Race and Ethnicity,Hispanic World,Cultural Identity,Latin American Studies,Social Issues,,,,
SPANISH 405 / CATALAN 405,"Advanced Catalan Language, Culture, and Society",SPANISH,Catalan Language,Cultural Studies,Spanish Language,Arts and Society,Political Studies,,,,
SPANISH 410 / ROMLING 410,Spanish Phonetics and Phonology,SPANISH,Spanish Phonetics,Phonology,Linguistics,Acoustic Phonetics,Contrastive Analysis,,,,
SPANISH 413 / EDCURINS 455 / ROMLING 413,Teaching Spanish/Applications of Linguistics,SPANISH,Teaching Spanish,Linguistics,Spanish Language,Phonology,Morphology,,,,
SPANISH 421,Cinema From Spain,SPANISH,Spanish Cinema,Film Studies,Genre Studies,Thematic Approach,Spanish Culture,,,,
SPANISH 423,Visual Cultures in the Hispanic World,SPANISH,Visual Cultures,Hispanic World,Art History,Photography,Film and Media,,,,
SPANISH 430,Advanced Studies in Hispanic Culture and Society,SPANISH,Hispanic Culture,Cultural Diversity,Spanish Language,Society Studies,World Cultures,,,,
SPANISH 435,Independent Study,SPANISH,Independent Study,Spanish Language,Undergraduate Research,Credit Limitations,Consent Required,,,,
SPANISH 438,Political and Economic Thought in Latin America/Spain,SPANISH,Political Thought,Latin America,Spain,Economic Theory,Cultural Studies,,,,
SPANISH 443,History and Historiography in Latin America/Spain,SPANISH,History,Historiography,Latin America,Spain,Primary Sources,,,,
SPANISH 445,Romance Studies: Introduction to French-Spanish Literary Relations,SPANISH,Romance Studies,French Literature,Spanish Literature,Literary Relations,Cross-Cultural Studies,,,,
SPANISH 470,Colonial Latin America,SPANISH,Colonial Latin America,Literature Studies,Cultural History,Society Studies,Spanish Language,,,,
SPANISH 476,Latin-American Poetry,SPANISH,Latin American Poetry,Modern Poetry,Literary Analysis,Spanish Language,Poetry Studies,,,,
SPANISH 487 / ROMLING 487,Studies in Hispanic Linguistics,SPANISH,Hispanic Linguistics,Linguistic Studies,Spanish Language,Linguistics Topics,Phonetics and Syntax,,,,
SPANISH 491,Senior Honors Course,SPANISH,Literary Studies,Honors Course,Senior Seminar,Literary Analysis,Disciplinary Studies,,,,
SPANISH 492,Senior Honors Course,SPANISH,Independent Study,Honors Thesis,Literary Research,Spanish Language,Term Papers,,,,
STATS 125,"Statistics, Games and Coincidences",STATS,Data Analysis,Probability,Statistics,Game Theory,Current Events,,,,
STATS 250,Introduction to Statistics and Data Analysis,STATS,Sampling Distributions,Regression,Variance,Inference,Graphical Presentation,,,,
STATS 280,Honors Introduction to Statistics and Data Analysis,STATS,Advanced Statistics,Honors Level,Statistical Methods,Applied Data Analysis,Statistical Inference,,,,
STATS 299,Workplace Internship for Undergraduate Statistics Majors,STATS,Internship,Statistics Majors,Workplace Experience,Off-Campus,Supervised Internship,,,,
STATS 401,Applied Statistical Methods II,STATS,Linear Regression,ANOVA,Modeling,Statistical Diagnostics,Model Selection,,,,
STATS 412,Introduction to Probability and Statistics,STATS,Probability Theory,Statistical Models,Confidence Intervals,Hypothesis Testing,Analysis of Variance,,,,
STATS 413,Applied Regression Analysis,STATS,Regression Analysis,Modern Topics,Statistical Methods,Undergraduate Statistics,Applied Statistics,,,,
STATS 425 / MATH 425,Introduction to Probability,STATS,Probability Theory,Applications,Genetics,Economics,Engineering,,,,
STATS 426,Introduction to Theoretical Statistics,STATS,Theoretical Statistics,Bayesian Statistics,Point Estimation,Confidence Intervals,Hypothesis Testing,,,,
STATS 449 / BIOSTAT 449,Topics in Biostatistics,STATS,Biostatistics,Clinical Trials,Survival Analysis,Statistical Genetics,Longitudinal Studies,,,,
STATS 480,Survey Sampling Techniques,STATS,Survey Sampling,Probability,Sampling Distributions,Error and Biases,Sample Design,,,,
STATS 485,Capstone Seminar,STATS,Capstone Seminar,Applied Research,Statistical Theory,Statistical Methods,Research Challenges,,,,
STATS 489,Independent Study in Statistics,STATS,Independent Study,Advanced Topics,Applied Statistics,Theoretical Statistics,Independent Research,,,,
STATS 499,Honors Seminar,STATS,Honors Seminar,Research Methods,Statistical Modeling,Technical Writing,Project Presentation,,,,
STATS 525 / MATH 525,Probability Theory,STATS,Probability Theory,Random Variables,Markov Chains,Central Limit Theorem,Exponential Distribution,,,,
STATS 526 / MATH 526,Discrete State Stochastic Processes,STATS,Stochastic Processes,Discrete Models,Markov Chains,Probability Distributions,Stochastic Systems,,,,
STATS 531 / DATASCI 531,Modeling and Analysis of Time Series Data,STATS,Time Series,Auto-Regressive Models,Forecasting,Epidemiology,Economics,,,,
STATS 547 / BIOINF 547 / MATH 547,Mathematics of Data,STATS,Data Representation,Dimension Reduction,Graph Theory,Topological Data,Computational Homology,,,,
STATS 570 / IOE 570,Experimental Design,STATS,Experimental Design,Factorial Designs,Analysis of Variance,Response Surface,Robust Design,,,,
STDABRD 232,"CGIS: Semester Multidisciplinary Studies at the Universitat Pompeu Fabra in Barcelona, Spain",STDABRD,Study Abroad,Multidisciplinary Studies,Business and Social Sciences,"Barcelona, Spain",University Experience,,,,
STDABRD 235,"CGIS: Advanced Language and Culture in Granada, Spain",STDABRD,Study Abroad,Advanced Language,Spanish Culture,University of Granada,College-level Spanish,,,,
STDABRD 236,CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),STDABRD,International Business,Humanities,Spanish Language,"Barcelona, Spain",University Electives,,,,
STDABRD 240,"CGIS: University Study in Spain at the Universidad Carlos III de Madrid, Spain",STDABRD,Study Abroad,University of Madrid,Liberal Arts,Spanish Language,Cultural Immersion,,,,
STDABRD 250,"CGIS: Intensive Chinese Language in Beijing, China",STDABRD,Intensive Chinese Language,Mandarin,Language Immersion,"Beijing, China",Cultural Excursions,,,,
STDABRD 275,CGIS: Global Intercultural Experience for Undergraduates (GIEU),STDABRD,Global Intercultural Experience,Undergraduate Program,Field Experience,Cross-Cultural Studies,Community Engagement,,,,
STDABRD 292,"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France",STDABRD,International Relations,Humanities,Social Sciences,France,Institute for American Universities,,,,
STDABRD 295,CGIS: University Study in France - Sciences Po Reims,STDABRD,International Relations,European Affairs,Economics,Business,Sciences Po,,,,
STDABRD 303,"CGIS: Environment and Sustainable Development in San Jose, Costa Rica",STDABRD,Sustainable Development,Costa Rica,Spanish Language,Latin American Studies,Fieldwork,,,,
STDABRD 304,"CGIS: Arabic Language and Culture in Amman, Jordan",STDABRD,Arabic Language,Arabic Culture,Jordan,Modern Standard Arabic,Political Science,,,,
STDABRD 305,"CGIS: Language and Culture in Rabat, Morocco",STDABRD,Arabic Language,French Language,North African Studies,Area Studies,Rabat Morocco,,,,
STDABRD 306,"CGIS: Advanced Language and Culture in Madrid, Spain",STDABRD,Spanish Language,Cultural Immersion,Spain,Universidad Complutense,Internship Option,,,,
STDABRD 308,"CGIS: EcoQuest Field Studies in Whakatiwai, New Zealand",STDABRD,Ecology,Field Studies,Environment Policy,"Whakatiwai, New Zealand",Research Project,,,,
STDABRD 315,"CGIS: Wildlife Management Studies in Rhotia, Tanzania",STDABRD,Wildlife Ecology,Tanzania,Resource Management,Cultural Tourism,Research,,,,
STDABRD 320,CGIS: Marine Resource Studies in The Turks and Caicos Islands,STDABRD,Marine Ecology,Turks and Caicos,Marine Resources,Field Research,,,,,
STDABRD 325,"CGIS: Chinese Studies in Shanghai, China",STDABRD,Chinese Studies,Shanghai,Chinese Language,Area Studies,Internship,,,,
STDABRD 330,"CGIS: Budapest Semesters in Mathematics in Budapest, Hungary",STDABRD,Mathematics,Hungary,English Courses,Science,Research,,,,
STDABRD 332,"CGIS: Central European Studies at Charles University in Prague, Czech Republic (UPCES)",STDABRD,Central European Studies,Prague,Czech Language,Humanities,Social Sciences,,,,
STDABRD 333,"CGIS: Anglo-American University in Prague, Czech Republic",STDABRD,Anglo-American University,Prague,English Courses,International Studies,Integrated Learning,,,,
STDABRD 335,"CGIS: Computer Science and Tech Career Accelerator in Prague, Czech Republic",STDABRD,Computer Science,Prague,Tech Ecosystem,Internships,Teamwork,,,,
STDABRD 340,"CGIS: Liberal Arts in Athens, Greece",STDABRD,Liberal Arts,Greece,History,Politics,Literature,Philosophy,Archaeology,Greek Language,Latin
STDABRD 342,"CGIS: Advanced Russian Language and Culture in Astana, Kazakhstan",STDABRD,Language Immersion,Cultural Exchange,Study Abroad,Intermediate Russian,Advanced Language Proficiency,,,,
STDABRD 343,CGIS: University Study in Japan - Hitotsubashi University (Tokyo),STDABRD,Study Abroad,University Exchange,Japanese Language,Cultural Immersion,Hitotsubashi University,,,,
STDABRD 344,"CGIS: Arts and Social Sciences in Tokyo, Japan",STDABRD,Study Abroad,University Exchange,Arts and Social Sciences,Cultural Activities,Intercultural Understanding,,,,
STDABRD 345,CGIS: University Study in Germany - University of Tuebingen,STDABRD,Study Abroad,University Exchange,German Language,University of Tuebingen,Intensive Language Course,,,,
STDABRD 347,CGIS: University Study in Japan - Waseda University (Tokyo),STDABRD,Study Abroad,University Exchange,Japanese Language,Waseda University,Language Proficiency,,,,
STDABRD 348,"CGIS: European Union in Freiburg, Germany",STDABRD,Study Abroad,European Union Studies,International Relations,Freiburg University,Eastern Europe,,,,
STDABRD 349,"CGIS: Language and Culture in Hikone, Japan",STDABRD,Study Abroad,Japanese Language,Area Studies,"Hikone, Japan",JCMU Program,,,,
STDABRD 351,"CGIS: Academic Year in Freiburg, Germany",STDABRD,Study Abroad,German Language,University of Freiburg,Academic Year Program,AYF Program,,,,
STDABRD 352,CGIS: University Study in Singapore - National University of Singapore,STDABRD,Study Abroad,University Exchange,Singapore Study Abroad,National University of Singapore,Class Range,,,,
STDABRD 354,"CGIS: Metropolitan Studies in Berlin, Germany",STDABRD,Study Abroad,Gender Studies,Sustainability,Fall Program,German Language,,,,
STDABRD 355,"CGIS: Advanced French Language in Paris, France",STDABRD,Study Abroad,Advanced French Language,Paris Study Abroad,College-Level French,Middlebury Program,,,,
STDABRD 356,"CGIS: Tropical Island Biodiversity Studies in Isla Colon, Panama",STDABRD,Study Abroad,Tropical Biodiversity,Environmental Science,Sustainability,Ecological Conservation,,,,
STDABRD 358,"CGIS: Conservation and Development Studies in Siem Reap, Cambodia",STDABRD,Study Abroad,Conservation Studies,Development Studies,Asian Elephant,Cambodia Field Work,Ecological Ethics,,,
STDABRD 360,"CGIS: Climate Studies in Puerto Natales, Chile",STDABRD,Study Abroad,Climate Change,Patagonia Research,Ecological Systems,Geology Studies,Chile Field Work,,,
STDABRD 363,"CGIS: Liberal Arts in Santiago, Chile",STDABRD,Study Abroad,Spanish Language,"Santiago, Chile",Liberal Arts Program,Chilean University,,,,
STDABRD 364,CGIS: University Study in the UK - University of Sussex,STDABRD,Study Abroad,University Exchange,UK Study Abroad,University of Sussex,Brighton Classes,,,,
STDABRD 373,"CGIS: Environmental Studies in Paro, Bhutan",STDABRD,Study Abroad,Environmental Studies,Biodiversity,Conservation Research,Trekking Bhutan,,,,
STDABRD 374,CGIS: University Study in South Korea - Yonsei University (Seoul),STDABRD,Study Abroad,University Exchange,South Korea Study Abroad,Yonsei University,Korean Language Proficiency,,,,
STDABRD 377,"CGIS: Intensive Chinese Language and Internship in Taipei, Taiwan",STDABRD,Study Abroad,Intensive Chinese Language,Taiwan Internship,Traditional Chinese,Simplified Chinese,,,,
